# event_types.csv — event_type 真相來源 sidecar（build_golden_manifest 讀取）
# 格式: id,event_type,tags
#   id        對應 manifest 的 id（事故批次=完整檔名 stem；舊批次=001/G0001…）
#   event_type 主類(單值,驅動分層切分/history)；留空則依優先級 emergency>control>door>track>daily 自動從 tags 取
#   tags      多標籤,pipe 分隔(如 emergency|control)；僅供 CER 診斷加總；可留空(預設=主類)
# 既有 157 段主類已從檔名正確解析,只在你要加 tags 時才需補列。
# 範例(多情境段)：G0099,,emergency|control   ← 主類自動取 emergency
id,event_type,tags
260603_北屯機廠號誌故障_EC_072302_號誌3股（原系電1股）_值班_0963678367,emergency,emergency
260603_北屯機廠號誌故障_EC_072305_號誌2股_值班_0963678332,emergency,emergency
260603_北屯機廠號誌故障_EC_072404_號誌1股_值班_0963678371,emergency,emergency
260603_北屯機廠號誌故障_EC_072604_號誌楊耀賓_0972088963,emergency,emergency
260603_北屯機廠號誌故障_EC_073900_陳振溢組長,emergency,emergency
260603_北屯機廠號誌故障_EC_082204_南段段辦,emergency,emergency
260603_北屯機廠號誌故障_EC_083301_號誌3股（原系電1股）_值班_0963678367,emergency,emergency
260603_北屯機廠號誌故障_備用_072614,emergency,emergency
260603_北屯機廠號誌故障_備用_072701,emergency,emergency
260603_北屯機廠號誌故障_備用_072849,emergency,emergency
260603_北屯機廠號誌故障_備用_072919,emergency,emergency
260603_北屯機廠號誌故障_備用_073027,emergency,emergency
260603_北屯機廠號誌故障_備用_073102,emergency,emergency
260603_北屯機廠號誌故障_備用_073151,emergency,emergency
260603_北屯機廠號誌故障_備用_073601,emergency,emergency
260603_北屯機廠號誌故障_備用_073901,emergency,emergency
260603_北屯機廠號誌故障_備用_074121,emergency,emergency
260603_北屯機廠號誌故障_備用_074233,emergency,emergency
260603_北屯機廠號誌故障_備用_074414,emergency,emergency
260603_北屯機廠號誌故障_備用_074523,emergency,emergency
260603_北屯機廠號誌故障_備用_074800,emergency,emergency
260603_北屯機廠號誌故障_備用_075014,emergency,emergency
260603_北屯機廠號誌故障_備用_075106,emergency,emergency
