id,event_type,tags,type,wrong,right,n_err
G0042,control,control,deletion,,意號誌機軌道狀況轉轍器及岔心前停,16
G0042,control,control,deletion,,況轉轍器及岔心前停車,10
G0042,control,control,deletion,,0708並開啟07,9
G0042,control,control,deletion,,轉轍器及岔心前停車,9
G0042,control,control,deletion,,報occ無法以,7
G0069,track,track,insertion,通告全週occ,,7
033,control,control,deletion,,cc請說o,5
044,control,control,deletion,,施後預計搭,5
044,control,control,deletion,,感謝out,5
G0042,control,control,deletion,,0910車,5
G0042,control,control,deletion,,0910車,5
G0042,control,control,deletion,,標速度行駛,5
G0042,control,control,deletion,,組0708,5
G0042,control,control,deletion,,標速度行駛,5
033,control,control,deletion,,vero,4
033,control,control,deletion,,over,4
033,control,control,deletion,,over,4
043,daily,daily,deletion,,over,4
G0042,control,control,deletion,,蓋板待命,4
G0042,control,control,deletion,,0910,4
G0042,control,control,deletion,,0910,4
G0042,control,control,deletion,,0708,4
G0042,control,control,deletion,,稍後貼近,4
G0042,control,control,insertion,over,,4
G0052,daily,daily,insertion,1通行車,,4
G0063,control,control,insertion,over,,4
G0068,door,door,deletion,,occ皆,4
G0068,door,door,deletion,,到out,4
033,control,control,deletion,,接人員,3
033,control,control,deletion,,到請說,3
033,control,control,deletion,,out,3
033,control,control,deletion,,out,3
033,control,control,deletion,,g09,3
043,daily,daily,insertion,g03,,3
044,control,control,deletion,,問哪裡,3
044,control,control,insertion,請oc,,3
051,daily,daily,deletion,,out,3
G0001,emergency,emergency,insertion,occ,,3
G0011,door,door,deletion,,g14,3
G0042,control,control,deletion,,端駕駛,3
G0042,control,control,deletion,,豐樂2,3
G0042,control,control,deletion,,已切換,3
G0042,control,control,deletion,,大慶2,3
G0042,control,control,deletion,,目的地,3
G0042,control,control,deletion,,度行駛,3
G0042,control,control,deletion,,及月臺,3
G0042,control,control,deletion,,器岔心,3
G0068,door,door,deletion,,occ,3
G0068,door,door,deletion,,occ,3
G0068,door,door,deletion,,occ,3
002,daily,daily,insertion,人員,,2
018,daily,daily,deletion,,cc,2
033,control,control,deletion,,回報,2
033,control,control,deletion,,05,2
033,control,control,insertion,有有,,2
033,control,control,deletion,,後將,2
033,control,control,deletion,,收到,2
033,control,control,deletion,,請說,2
033,control,control,deletion,,交接,2
033,control,control,deletion,,04,2
033,control,control,deletion,,32,2
033,control,control,insertion,一務,,2
033,control,control,deletion,,呼叫,2
044,control,control,deletion,,謝謝,2
044,control,control,deletion,,車組,2
044,control,control,deletion,,正確,2
044,control,control,deletion,,謝謝,2
G0042,control,control,deletion,,高鐵,2
G0042,control,control,deletion,,回復,2
G0042,control,control,deletion,,移動,2
G0042,control,control,deletion,,cc,2
G0042,control,control,deletion,,速度,2
G0042,control,control,deletion,,及月,2
G0042,control,control,deletion,,貼近,2
G0042,control,control,deletion,,報方,2
G0042,control,control,deletion,,門及,2
G0042,control,control,deletion,,70,2
G0042,control,control,deletion,,待命,2
G0042,control,control,deletion,,70,2
G0042,control,control,deletion,,日1,2
G0042,control,control,deletion,,烏日,2
G0068,door,door,deletion,,02,2
002,daily,daily,number,清,7,1
002,daily,daily,other_sub,至,已,1
002,daily,daily,other_sub,大,待,1
002,daily,daily,other_sub,員,命,1
007,daily,daily,insertion,1,,1
007,daily,daily,number,1,a,1
007,daily,daily,number,2,櫻,1
007,daily,daily,deletion,,花,1
007,daily,daily,near_homophone,立,離,1
018,daily,daily,other_sub,g,o,1
018,daily,daily,number,市,四,1
018,daily,daily,other_sub,跟,組,1
018,daily,daily,deletion,,更,1
018,daily,daily,other_sub,頒,發,1
018,daily,daily,other_sub,執,謝,1
018,daily,daily,number,市,四,1
018,daily,daily,other_sub,頒,發,1
033,control,control,deletion,,9,1
033,control,control,other_sub,行,請,1
033,control,control,other_sub,月,員,1
033,control,control,insertion,那,,1
033,control,control,near_homophone,知,執,1
033,control,control,homophone,連,聯,1
033,control,control,insertion,報,,1
033,control,control,other_sub,o,g,1
033,control,control,number,v,0,1
033,control,control,number,e,9,1
033,control,control,other_sub,r,市,1
033,control,control,deletion,,執,1
033,control,control,deletion,,m,1
033,control,control,other_sub,t,p,1
033,control,control,homophone,連,聯,1
033,control,control,deletion,,0,1
033,control,control,number,市,四,1
033,control,control,deletion,,維,1
033,control,control,number,5,7,1
033,control,control,deletion,,車,1
033,control,control,deletion,,7,1
033,control,control,deletion,,將,1
033,control,control,other_sub,請,將,1
033,control,control,deletion,,0,1
033,control,control,number,4,四,1
033,control,control,deletion,,維,1
033,control,control,other_sub,執,會,1
033,control,control,deletion,,直,1
033,control,control,other_sub,稍,下,1
033,control,control,number,後,一,1
033,control,control,deletion,,列,1
033,control,control,insertion,人,,1
033,control,control,other_sub,月,列,1
033,control,control,insertion,回,,1
033,control,control,other_sub,車,為,1
033,control,control,number,組,3,1
033,control,control,number,車,1,1
033,control,control,number,站,3,1
033,control,control,number,線,2,1
033,control,control,insertion,g,,1
033,control,control,other_sub,跟,和,1
033,control,control,insertion,那,,1
033,control,control,deletion,,的,1
033,control,control,deletion,,需,1
033,control,control,deletion,,2,1
033,control,control,other_sub,正,等,1
033,control,control,deletion,,0,1
033,control,control,number,1,7,1
033,control,control,other_sub,那,稍,1
033,control,control,deletion,,續,1
033,control,control,other_sub,報,發,1
033,control,control,insertion,o,,1
033,control,control,deletion,,0,1
033,control,control,deletion,,7,1
033,control,control,other_sub,向,將,1
033,control,control,insertion,四,,1
033,control,control,other_sub,中,松,1
033,control,control,other_sub,府,竹,1
033,control,control,number,市,0,1
033,control,control,deletion,,4,1
033,control,control,other_sub,府,竹,1
033,control,control,insertion,c,,1
033,control,control,other_sub,c,請,1
033,control,control,deletion,,員,1
033,control,control,deletion,,與,1
033,control,control,number,車,3,1
033,control,control,number,站,1,1
033,control,control,number,車,3,1
033,control,control,number,車,2,1
033,control,control,other_sub,府,竹,1
033,control,control,other_sub,市,與,1
033,control,control,number,站,3,1
033,control,control,number,長,1,1
033,control,control,other_sub,到,交,1
033,control,control,number,5,9,1
