timestamp,timestamp_iso,engine_label,post_process,event_type,count,avg_cer_raw,avg_cer_final,avg_improvement,source_json
-30T11:48:09,ensemble_v1,car_norm+dict,train,1,0.95,0.95,0.0,batch_eval_20260430_114809_ensemble_v1_car_norm+dict.json,
0501_214541_sensevoice_ft_r32_car_norm+dict.json,,,,,,,,,
20260428_115027,2026-04-28T11:50:27,chirp3,car_norm,control,22,0.7871,0.7852,0.002,batch_eval_20260428_115027_chirp3_car_norm.json
20260428_115027,2026-04-28T11:50:27,chirp3,car_norm,daily,29,0.823,0.8199,0.003,batch_eval_20260428_115027_chirp3_car_norm.json
20260428_115027,2026-04-28T11:50:27,chirp3,car_norm,door,4,1.5,1.5,0.0,batch_eval_20260428_115027_chirp3_car_norm.json
20260428_115027,2026-04-28T11:50:27,chirp3,car_norm,emergency,1,0.4247,0.4247,0.0,batch_eval_20260428_115027_chirp3_car_norm.json
20260428_115027,2026-04-28T11:50:27,chirp3,car_norm,track,6,0.6021,0.5944,0.0077,batch_eval_20260428_115027_chirp3_car_norm.json
20260428_115027,2026-04-28T11:50:27,chirp3,car_norm,train,1,0.95,0.95,0.0,batch_eval_20260428_115027_chirp3_car_norm.json
20260428_115027,2026-04-28T11:50:27,chirp3,car_norm+dict,control,22,0.7871,0.7852,0.002,batch_eval_20260428_115027_chirp3_car_norm+dict.json
20260428_115027,2026-04-28T11:50:27,chirp3,car_norm+dict,daily,29,0.823,0.8199,0.003,batch_eval_20260428_115027_chirp3_car_norm+dict.json
20260428_115027,2026-04-28T11:50:27,chirp3,car_norm+dict,door,4,1.5,1.5,0.0,batch_eval_20260428_115027_chirp3_car_norm+dict.json
20260428_115027,2026-04-28T11:50:27,chirp3,car_norm+dict,emergency,1,0.4247,0.4247,0.0,batch_eval_20260428_115027_chirp3_car_norm+dict.json
20260428_115027,2026-04-28T11:50:27,chirp3,car_norm+dict,track,6,0.6021,0.5944,0.0077,batch_eval_20260428_115027_chirp3_car_norm+dict.json
20260428_115027,2026-04-28T11:50:27,chirp3,car_norm+dict,train,1,0.95,0.95,0.0,batch_eval_20260428_115027_chirp3_car_norm+dict.json
20260428_115027,2026-04-28T11:50:27,chirp3,raw,control,22,0.7871,0.7865,0.0007,batch_eval_20260428_115027_chirp3_raw.json
20260428_115027,2026-04-28T11:50:27,chirp3,raw,daily,29,0.823,0.8199,0.003,batch_eval_20260428_115027_chirp3_raw.json
20260428_115027,2026-04-28T11:50:27,chirp3,raw,door,4,1.5,1.5,0.0,batch_eval_20260428_115027_chirp3_raw.json
20260428_115027,2026-04-28T11:50:27,chirp3,raw,emergency,1,0.4247,0.4247,0.0,batch_eval_20260428_115027_chirp3_raw.json
