timestamp,timestamp_iso,engine_label,post_process,sample_count,success_count,avg_cer_raw,avg_cer_final,avg_improvement,avg_wer_final,source_json
20260428_115027,2026-04-28T11:50:27,chirp3,car_norm,63,63,0.8281,0.8253,0.0028,0.8327,batch_eval_20260428_115027_chirp3_car_norm.json
20260428_115027,2026-04-28T11:50:27,chirp3,car_norm+dict,63,63,0.8281,0.8253,0.0028,0.8327,batch_eval_20260428_115027_chirp3_car_norm+dict.json
20260428_115027,2026-04-28T11:50:27,chirp3,raw,63,63,0.8281,0.8259,0.0022,0.8349,batch_eval_20260428_115027_chirp3_raw.json
20260428_115027,2026-04-28T11:50:27,gemini,car_norm,63,62,1.7769,1.7694,0.0075,0.7248,batch_eval_20260428_115027_gemini_car_norm.json
20260428_115027,2026-04-28T11:50:27,gemini,car_norm+dict,63,62,1.7769,1.7698,0.0071,0.7245,batch_eval_20260428_115027_gemini_car_norm+dict.json
20260428_115027,2026-04-28T11:50:27,gemini,raw,63,62,1.7769,1.772,0.0049,0.7312,batch_eval_20260428_115027_gemini_raw.json
20260428_115027,2026-04-28T11:50:27,sensevoice,car_norm,63,63,0.6584,0.6565,0.0019,0.812,batch_eval_20260428_115027_sensevoice_car_norm.json
20260428_115027,2026-04-28T11:50:27,sensevoice,car_norm+dict,63,63,0.6584,0.6559,0.0025,0.8106,batch_eval_20260428_115027_sensevoice_car_norm+dict.json
20260428_115027,2026-04-28T11:50:27,sensevoice,raw,63,63,0.6584,0.6565,0.0019,0.812,batch_eval_20260428_115027_sensevoice_raw.json
20260428_115028,2026-04-28T11:50:28,scribe,car_norm,63,63,0.6615,0.6527,0.0088,0.7995,batch_eval_20260428_115028_scribe_car_norm.json
20260428_115028,2026-04-28T11:50:28,scribe,car_norm+dict,63,63,0.6615,0.6364,0.0251,0.7889,batch_eval_20260428_115028_scribe_car_norm+dict.json
20260428_115028,2026-04-28T11:50:28,scribe,raw,63,63,0.6615,0.653,0.0085,0.7993,batch_eval_20260428_115028_scribe_raw.json
20260428_120244,2026-04-28T12:02:44,chirp3,car_norm+dict+llm,63,63,0.8281,0.8193,0.0088,0.8737,batch_eval_20260428_120244_chirp3_car_norm+dict+llm.json
20260428_130711,2026-04-28T13:07:11,scribe,car_norm+dict+llm,63,63,0.6615,0.6323,0.0292,0.7813,batch_eval_20260428_130711_scribe_car_norm+dict+llm.json
20260428_130848,2026-04-28T13:08:48,gemini,car_norm+dict+llm,63,62,1.7769,1.6322,0.1446,0.7237,batch_eval_20260428_130848_gemini_car_norm+dict+llm.json
20260428_131206,2026-04-28T13:12:06,sensevoice,car_norm+dict+llm,63,63,0.6584,0.6514,0.007,0.8071,batch_eval_20260428_131206_sensevoice_car_norm+dict+llm.json
20260428_172126,2026-04-28T17:21:26,gemini25pro,car_norm,63,55,0.4934,0.4878,0.0056,0.6339,batch_eval_20260428_172126_gemini25pro_car_norm.json
20260428_172126,2026-04-28T17:21:26,gemini25pro,car_norm+dict,63,55,0.4934,0.4877,0.0057,0.6337,batch_eval_20260428_172126_gemini25pro_car_norm+dict.json
20260428_172126,2026-04-28T17:21:26,gemini25pro,raw,63,55,0.4934,0.4905,0.0029,0.6437,batch_eval_20260428_172126_gemini25pro_raw.json
20260428_172126,2026-04-28T17:21:26,gemini31pro,car_norm,63,62,0.6948,0.6851,0.0097,0.7411,batch_eval_20260428_172126_gemini31pro_car_norm.json
20260428_172126,2026-04-28T17:21:26,gemini31pro,car_norm+dict,63,62,0.6948,0.6852,0.0095,0.7414,batch_eval_20260428_172126_gemini31pro_car_norm+dict.json
20260428_172126,2026-04-28T17:21:26,gemini31pro,raw,63,62,0.6948,0.6889,0.0059,0.7602,batch_eval_20260428_172126_gemini31pro_raw.json
20260428_173042,2026-04-28T17:30:42,gemini31pro,car_norm+dict+llm,63,62,0.6948,0.6852,0.0095,0.7414,batch_eval_20260428_173042_gemini31pro_car_norm+dict+llm.json
20260428_173607,2026-04-28T17:36:07,gemini25pro,car_norm+dict+llm,63,55,0.4934,0.4877,0.0057,0.635,batch_eval_20260428_173607_gemini25pro_car_norm+dict+llm.json
20260429_091750,2026-04-29T09:17:50,gemini25pro,car_norm+dict,63,55,0.4934,0.4835,0.0099,0.6278,batch_eval_20260429_091750_gemini25pro_car_norm+dict.json
20260429_091751,2026-04-29T09:17:51,scribe,car_norm+dict,63,63,0.6615,0.6364,0.0251,0.7889,batch_eval_20260429_091751_scribe_car_norm+dict.json
20260429_091751,2026-04-29T09:17:51,sensevoice,car_norm+dict,63,63,0.6584,0.6559,0.0025,0.8106,batch_eval_20260429_091751_sensevoice_car_norm+dict.json
20260429_093934,2026-04-29T09:39:34,gemini25pro,car_norm+dict,63,55,0.4934,0.4835,0.0099,0.6278,batch_eval_20260429_093934_gemini25pro_car_norm+dict.json
20260429_094208,2026-04-29T09:42:08,scribe,car_norm+dict,63,63,0.6615,0.6356,0.0258,0.7877,batch_eval_20260429_094208_scribe_car_norm+dict.json
20260429_101419,2026-04-29T10:14:19,sensevoice,car_norm+dict,63,63,0.6584,0.6497,0.0087,0.8029,batch_eval_20260429_101419_sensevoice_car_norm+dict.json
20260429_102827,2026-04-29T10:28:27,chirp3,car_norm+dict,63,63,0.8281,0.8236,0.0045,0.8297,batch_eval_20260429_102827_chirp3_car_norm+dict.json
