編號	中文	英文	縮寫
A0001	列車運行計畫	Train Operation Plan
A0002	行車運轉通告	Traffic Note
A0003	事故	Accident
A0004	事故調查報告	Accident Report
A0005	正線	Main Line
A0006	機廠	Depot
A0007	時刻表	Timetable
A0008	緊急狀況	Emergency Case
A0009	尖峰時段	Peak Hour
A0010	離峰時段	Non-peak Hour
A0011	停站時間	Dwell Time
A0012	營運時間帶	Revenue Operation Time	ROT
A0013	巡軌作業	Sweeping Operation
A0014	巡檢作業	Patrol
A0015	維修時間帶	Maintenance Working Time	MWT
A0016	行車人員	Operation Staff
A0017	列車駕駛	Train Driver
A0018	行控中心	Operation Control Center	OCC
A0019	中央控制室	Central Control Room	CCR
A0020	備援行控中心	Backup Operation Control Center	BOCC
A0021	控制長	Chief Controller	CC
A0022	正線控制工程師	Mainline Traffic Controller	MTC
A0023	機廠控制工程師	Depot Traffic Controller	DTC
A0024	電力控制工程師	Power Controller	PC
A0025	工程控制工程師	Engineering Controller	EC
A0026	行控資訊員	Information Assistant	IA
A0027	定位	Localization
A0028	路徑	Route
A0029	服務速度	Service Speed
A0030	工作現場	Work Site
A0031	工作現場負責人	Work Site Supervisor	WSS
A0032	重大事故	Major Accident
A0033	一般事故	General Accident
A0034	緊急應變中心	Emergency Operation Center	EOC
A0035	緊急應變中心召集人	Chief Emergency Coordinator	CEC
A0036	現場指揮所	Incident Command Post	ICP
A0037	現場指揮官	Site Commander
A0038	回送車	Deadhead Train
A0039	營運車	Revenue Train
A0040	首班車	First Revenue Train
A0041	末班車	Last Revenue Train
A0042	巡軌車	Sweeping Train
A0043	圖形化使用者介面	Graphical User Interface	GUI
A0044	準點率	Punctuality Rate
A0045	標準作業程序	Standard Operation Procedure	SOP
A0046	步巡	Walking Patrol
A0047	緊急呼叫	Emergency Call
A0048	旁路	Bypass
A0049	頻道	Channel
A0050	通訊	Communication
A0051	單呼	Private Call
A0052	適應訓練	On Job Training	OJT
A0053	停車轉乘	Park and Ride	P&R
A0054	接送轉乘	Kiss and Ride	K&R
A0055	營運通車日	Revenue Service Date
A0056	乘車品質	Ride Quality
A0057	初勘	Initial Inspection
A0058	履勘	Final Inspection
A0059	模擬演練	Drill
A0060	意外停滯	Unscheduled Stop
A0061	系統整合測試	System Integrated Test	SIT
A0062	試運轉	Trial Running
A0063	終點站	Destination Station
A0064	端點站	Terminal Station
A0065	複置裝置	Redundancy
A0066	直通模式	Direct Mode Operation	DMO
A0067	告警	Alarm
A0068	維生	Vital
A0069	非維生	Non-Vital
A0070	預防檢修	Preventive Maintenance	PM
A0071	故障檢修	Corrective Maintenance	CM
A0072	平均故障間隔時間	Mean Time Between Failures	MTBF
A0073	故障間平均行駛百萬公里數	Million Kilometer Between Failure	MKBF
A0074	平均復原時間	Mean Time To Restore	MTTR
A0075	特別技術規範	Particular Technical Specification	PTS
A0076	高速乙太網路	Fast Ethernet	FE
A0077	超高速乙太網路	Gigabit Ethernet	GbE
A0078	區域網路	Local Area Network	LAN
A0079	同步數位階層	Synchronous Digital Hierarchy	SDH
A0080	列車使用率	Trainset Availability
A0081	系統運能	Carrying Capacity
A0082	運行時間	Travel Time
A0083	隨車巡檢	On-board Patrol
A0084	接駁公車	Shuttle Bus
A0085	運轉整理	Operation Reformation
A0086	報修作業	Fault Reporting
A0087	工單	Work Request
A0088	營運中斷接駁	Rail Replacement Bus Service
A0089	數位中繼式無線電	Terrestrial Trunked Radio	TETRA
B0001	行車方向	Direction Of Travel
B0002	下行	Down Direction
B0003	上行	Up Direction
B0004	越位	Overrun
B0005	過站不停	Skip
B0006	閉塞區間	Block
B0007	正常運轉模式	Normal Operating Mode
B0008	降級運轉模式	Degraded Operating Mode
B0009	緊急運轉模式	Emergency Operating Mode
B0010	通訊式列車控制系統	Communication Based Train Control System	CBTC
B0011	電腦化聯鎖	Computer based Interlocking	CBI
B0012	中央邏輯控制器	Central Logical Controller	CLC
B0013	智慧型輸入輸出	SMART I/O	SMIO
B0014	列車操作路徑釋放	Train Operated Route Release	TORR
B0015	服務停止點	Service Stopping Point	SSP
B0016	地理自動模式授權區域	Geographical Automatic Mode Authorization Zone	GAMA Zone
B0017	工作區	Work Zone	WZ
B0018	臨時速度限制	Temporary Speed Restriction	TSR
